Country,Year,log_Active Armed Forces per capita,Unemployment rate,Secondary education attainment rate,log_GDP per capita,log_Defence budget per capita,Defence budget % GDP,GDP per capita % change,Defence budget per capita % change,Defence budget % GDP % change,Education Interpolated
Hungary,2019,-5.854984014122498,3.419,78.5931243896484,9.621363284959292,5.014658621150493,1.12,4.911693525260019,1.8996771539411483,6.666666666666665,False
Hungary,2020,-5.8528333357512015,4.25,80.0100021362305,9.577605659110507,5.155904226603587,1.39,-4.281407351324895,15.170747888810098,24.10714285714284,False
Hungary,2021,-5.654539811065523,4.045,81.4102630615234,9.64997380944176,5.212684469279047,1.3,7.5051051620178555,5.842318858810858,-6.474820143884886,False
Hungary,2022,-5.708394427400487,3.609,82.6402359008789,9.70155854152983,5.903177429338392,2.72,5.293840018169549,99.46985976565044,109.23076923076924,False
Hungary,2023,-5.702968184878917,4.107,82.6402359008789,9.69786647881189,5.795135946927308,2.08,-0.36852554345990773,-10.24096385542168,-23.529411764705888,True
Italy,2015,-5.84941669832413,11.896,49.1500015258789,10.32177442007315,5.7944113547460665,1.18,0.9829442115787401,-14.437131533093195,3.5087719298245723,False
Italy,2016,-5.847717857591115,11.688,50.1106872558594,10.335759683714548,5.80179104061763,1.19,1.4083514930054886,0.7406982859762934,0.8474576271186418,False
Italy,2017,-5.846219246421375,11.211,51.0024604797363,10.353168060173603,5.973461497436403,1.37,1.7560785357203734,18.72865065655318,15.126050420168081,False
Italy,2018,-5.8674410274410915,10.61,51.9755325317383,10.363301183445431,5.999339363252079,1.38,1.0184637217473647,2.6215604813390803,0.7299270072992581,False
Italy,2019,-5.885586511348213,9.951,52.5768356323242,10.379113910267368,5.861956481537696,1.35,1.5938409575193324,-12.836357141639631,-2.1739130434782483,False
Italy,2020,-5.880715560431035,9.164,52.4599990844727,10.291121252767107,5.914150309374888,1.57,-8.423239927798976,5.357993584382337,16.296296296296298,False
Italy,2021,-5.89995101356675,9.497,52.4379005432129,10.381822290800583,6.005621120447364,1.58,9.494161042452042,9.578479144287599,0.6369426751592355,False
Italy,2022,-5.9041199751458455,8.069,52.7956314086914,10.429408955972235,5.923058799892221,1.47,4.873708616253536,-7.924594583507371,-6.9620253164556996,False
Italy,2023,-5.903777758567173,7.627,52.7956314086914,10.43670328049168,5.971098776479583,1.41,0.7320992907734025,4.921259842519676,-4.081632653061229,True
